11:13:05:375 [ALWAYS]	GUDE Logging Started
11:13:05:380 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
11:13:05:380 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
11:13:05:380 [ERROR]	Initialize resume cache pointer failure
11:13:05:381 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
11:13:05:381 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
11:13:08:276 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
11:13:08:276 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
11:13:08:276 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
11:13:08:276 [ERROR]	Initialize resume cache pointer failure
11:13:08:276 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
11:13:08:276 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
